Genre_name,Genre_description
Fiction,Literary works of imaginative narration
Non-Fiction,Works based on facts and real events
Science Fiction,Fiction based on imagined future scientific or technological advances
Fantasy,Fiction involving magic and supernatural elements
Mystery,Fiction dealing with solving a crime or unraveling secrets
Thriller,Fiction designed to hold readers in suspense
Romance,Fiction focusing on romantic relationships
Horror,Fiction intended to frighten or unsettle readers
Biography,Written account of another person's life
Autobiography,Written account of one's own life
History,Written accounts of past events
Science,Works about scientific subjects and discoveries
Self-Help,Books offering advice for personal improvement
Business,"Books about business, economics, and management"
Technology,"Books about computers, programming, and technology"
Travel,Books about travel destinations and experiences
Cooking,Books with recipes and cooking techniques
Poetry,Literary work in verse form
Drama,Literature intended for theatrical performance
Children,Books written for children
Young Adult,Books targeted at teenage readers
Graphic Novel,Book-length comics or graphic narratives
Philosophy,Works exploring fundamental questions about existence
Religion,Books about religious beliefs and practices
Art,Books about visual arts and artistic techniques
